epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,722.329,1.47819,1.64372,1.58909,0.46004,0.48931,0.50784,0.20548,2.08117,2.08388,2.15046,0.000540037,0.000540037,0.000540037
43,739.381,1.46969,1.63886,1.59776,0.48419,0.66532,0.53495,0.23821,2.00722,2.11108,2.09516,0.000531038,0.000531038,0.000531038
44,756.452,1.4536,1.59717,1.57522,0.4377,0.64067,0.56003,0.30591,2.11901,2.10139,2.13627,0.000522039,0.000522039,0.000522039
45,773.565,1.46309,1.60973,1.57457,0.45743,0.63597,0.53404,0.19053,2.11526,2.18574,2.09751,0.00051304,0.00051304,0.00051304
46,790.756,1.41802,1.54086,1.53434,0.36615,0.5251,0.5313,0.25228,2.11528,2.13949,2.18433,0.00050404,0.00050404,0.00050404
47,807.944,1.43792,1.55497,1.55727,0.28727,0.72101,0.51944,0.25923,2.05392,2.17311,2.10032,0.000495041,0.000495041,0.000495041
48,825.124,1.42091,1.52437,1.5524,0.34892,0.6558,0.46852,0.24538,2.09715,2.3107,2.12161,0.000486042,0.000486042,0.000486042
49,842.237,1.42666,1.52332,1.55788,0.3892,0.75439,0.63498,0.35031,2.03138,2.03021,2.08567,0.000477043,0.000477043,0.000477043
50,859.615,1.40312,1.48984,1.51672,0.492,0.54221,0.53657,0.22273,1.98592,2.04134,2.11892,0.000468044,0.000468044,0.000468044
51,876.714,1.36247,1.44059,1.50684,0.43367,0.53781,0.48386,0.19687,2.06126,2.22605,2.21105,0.000459045,0.000459045,0.000459045
52,893.888,1.35258,1.394,1.47586,0.5821,0.52724,0.64628,0.30774,2.07976,2.10825,2.14516,0.000450046,0.000450046,0.000450046
53,911.204,1.37023,1.44178,1.50356,0.61965,0.49015,0.6173,0.25611,2.09049,2.08609,2.18854,0.000441047,0.000441047,0.000441047
54,928.365,1.38379,1.40613,1.50307,0.50386,0.51367,0.38598,0.19856,2.14165,2.28774,2.16572,0.000432048,0.000432048,0.000432048
55,945.483,1.34507,1.40533,1.48449,0.42356,0.50227,0.51939,0.234,2.01896,2.20216,2.07536,0.000423049,0.000423049,0.000423049
56,962.748,1.32576,1.36718,1.47462,0.60519,0.64367,0.6408,0.3667,2.08901,2.20148,2.16529,0.000414049,0.000414049,0.000414049
57,980.002,1.31799,1.35222,1.46342,0.4544,0.6362,0.53612,0.27333,2.1109,2.07126,2.19858,0.00040505,0.00040505,0.00040505
58,997.126,1.35524,1.3702,1.49097,0.4758,0.65531,0.48614,0.26332,2.09261,2.30298,2.186,0.000396051,0.000396051,0.000396051
59,1014.2,1.29136,1.31409,1.44301,0.52953,0.67062,0.66345,0.32288,2.13377,2.13635,2.19095,0.000387052,0.000387052,0.000387052
60,1031.5,1.32369,1.32996,1.4427,0.46321,0.65802,0.57914,0.33538,2.05257,2.06324,2.18592,0.000378053,0.000378053,0.000378053
61,1048.57,1.27771,1.31574,1.4412,0.35194,0.70332,0.51913,0.24473,2.16287,2.20509,2.23164,0.000369054,0.000369054,0.000369054
62,1065.65,1.27399,1.26757,1.43267,0.41367,0.64999,0.4877,0.2859,2.06527,2.17611,2.16538,0.000360055,0.000360055,0.000360055
63,1082.69,1.25284,1.25242,1.41496,0.48097,0.44919,0.44435,0.23563,2.04867,2.14123,2.12449,0.000351056,0.000351056,0.000351056
64,1099.81,1.25414,1.22125,1.40621,0.46565,0.67328,0.54917,0.24459,2.19511,2.19489,2.25711,0.000342057,0.000342057,0.000342057
65,1116.92,1.24225,1.2293,1.40733,0.38177,0.63879,0.5335,0.26379,2.14398,2.15956,2.17472,0.000333058,0.000333058,0.000333058
66,1133.99,1.23943,1.21112,1.40099,0.51411,0.64404,0.64653,0.33554,2.15218,2.13406,2.25066,0.000324058,0.000324058,0.000324058
67,1151.21,1.22067,1.20695,1.38275,0.50862,0.60132,0.60131,0.31816,2.1019,2.21727,2.2489,0.000315059,0.000315059,0.000315059
68,1168.3,1.18812,1.17522,1.37323,0.44944,0.70521,0.57238,0.31649,2.08696,2.12451,2.233,0.00030606,0.00030606,0.00030606
69,1185.38,1.16879,1.13452,1.34834,0.52895,0.5356,0.53862,0.24537,2.20363,2.13498,2.37223,0.000297061,0.000297061,0.000297061
70,1202.51,1.20158,1.12922,1.36562,0.39968,0.64832,0.52956,0.22086,2.24809,2.26883,2.35918,0.000288062,0.000288062,0.000288062
71,1219.55,1.15746,1.08918,1.33795,0.51578,0.65727,0.64755,0.32435,2.10263,2.12084,2.19888,0.000279063,0.000279063,0.000279063
72,1236.64,1.14162,1.10519,1.32819,0.37517,0.74531,0.66736,0.34957,2.1173,2.075,2.18907,0.000270064,0.000270064,0.000270064
73,1253.7,1.15093,1.07554,1.32874,0.45207,0.62696,0.62157,0.30931,2.20717,2.32633,2.3326,0.000261065,0.000261065,0.000261065
74,1270.78,1.13981,1.06216,1.32409,0.43042,0.63495,0.61181,0.28876,2.12366,2.23562,2.27989,0.000252066,0.000252066,0.000252066
75,1287.86,1.1398,1.0462,1.32619,0.44671,0.64283,0.61301,0.22995,2.20627,2.34407,2.32909,0.000243067,0.000243067,0.000243067
76,1304.91,1.11726,1.0673,1.31458,0.5201,0.66341,0.56382,0.26691,2.21002,2.18042,2.38224,0.000234068,0.000234068,0.000234068
77,1322,1.10679,1.03197,1.29178,0.59447,0.53516,0.58737,0.30262,2.16136,2.34804,2.30857,0.000225068,0.000225068,0.000225068
78,1339.08,1.10725,1.03276,1.30083,0.58679,0.52278,0.6145,0.27499,2.12568,2.23384,2.25883,0.000216069,0.000216069,0.000216069
79,1356.1,1.09171,1.00136,1.27952,0.48656,0.57607,0.60841,0.29194,2.22198,2.20483,2.37066,0.00020707,0.00020707,0.00020707
80,1373.19,1.08702,0.99526,1.27904,0.4939,0.61274,0.61171,0.30028,2.13463,2.20465,2.2288,0.000198071,0.000198071,0.000198071
81,1390.31,1.0973,1.00521,1.28393,0.34094,0.50142,0.50357,0.26108,2.13954,2.25216,2.28576,0.000189072,0.000189072,0.000189072
82,1407.4,1.0612,0.95143,1.2665,0.35277,0.61944,0.48893,0.22229,2.18369,2.43595,2.32358,0.000180073,0.000180073,0.000180073
83,1424.48,1.042,0.9437,1.26019,0.5395,0.637,0.61438,0.28727,2.14902,2.30337,2.2901,0.000171074,0.000171074,0.000171074
84,1441.61,1.05108,0.93682,1.24683,0.50968,0.60333,0.6117,0.28421,2.17585,2.27698,2.32211,0.000162075,0.000162075,0.000162075
85,1458.69,1.03554,0.92326,1.23684,0.48605,0.65167,0.62898,0.32535,2.18029,2.28009,2.32308,0.000153076,0.000153076,0.000153076
86,1475.81,1.0652,0.94268,1.25529,0.45176,0.63156,0.46081,0.25163,2.16262,2.46525,2.30363,0.000144077,0.000144077,0.000144077
87,1492.92,1.03074,0.94167,1.24049,0.45788,0.68293,0.45727,0.25195,2.10599,2.35813,2.21325,0.000135077,0.000135077,0.000135077
88,1510.07,1.0185,0.90447,1.23173,0.46847,0.62617,0.56158,0.32366,2.14852,2.14831,2.30743,0.000126078,0.000126078,0.000126078
89,1527.23,0.99934,0.88122,1.20613,0.50772,0.62698,0.6044,0.31456,2.17422,2.36611,2.30905,0.000117079,0.000117079,0.000117079
90,1544.39,1.01167,0.87247,1.22339,0.47039,0.64733,0.61425,0.31527,2.15124,2.33887,2.26378,0.00010808,0.00010808,0.00010808
91,1562.32,1.00516,0.88783,1.26487,0.47164,0.65833,0.55895,0.30166,2.1714,2.26047,2.34696,9.9081e-05,9.9081e-05,9.9081e-05
92,1579.46,0.90593,0.75972,1.18643,0.48864,0.67501,0.56852,0.31883,2.17267,2.18924,2.31949,9.00819e-05,9.00819e-05,9.00819e-05
93,1596.54,0.88796,0.72629,1.17461,0.41693,0.6663,0.44516,0.24701,2.14764,2.29934,2.28818,8.10828e-05,8.10828e-05,8.10828e-05
94,1613.56,0.88263,0.71741,1.17351,0.47132,0.58092,0.54769,0.28795,2.13919,2.37886,2.26539,7.20837e-05,7.20837e-05,7.20837e-05
95,1630.54,0.86109,0.69394,1.15939,0.49202,0.63282,0.55933,0.31354,2.13783,2.32535,2.26917,6.30846e-05,6.30846e-05,6.30846e-05
96,1647.53,0.84752,0.67727,1.15145,0.44692,0.66617,0.55671,0.30922,2.14091,2.42295,2.25673,5.40855e-05,5.40855e-05,5.40855e-05
97,1664.56,0.83285,0.66472,1.13264,0.45229,0.66177,0.5286,0.29008,2.13154,2.44059,2.2651,4.50864e-05,4.50864e-05,4.50864e-05
98,1681.65,0.79794,0.63745,1.12131,0.44948,0.61472,0.60581,0.33011,2.18008,2.49325,2.31721,3.60873e-05,3.60873e-05,3.60873e-05
99,1698.83,0.82845,0.66084,1.14518,0.47152,0.64655,0.54609,0.29737,2.17156,2.48493,2.31333,2.70882e-05,2.70882e-05,2.70882e-05
100,1715.86,0.81137,0.64853,1.13098,0.45607,0.65809,0.54772,0.29671,2.18262,2.46598,2.3139,1.80891e-05,1.80891e-05,1.80891e-05
